id,categoria,aliases
189,esencia y composición,Esencia Y Composición|Esencia Y Composiciónes|esencia y composicion|esencia y composiciones|esencia y composición|esencia y composiciónes
190,esmero y cuidado / chapuza,Esmero Y Cuidado / Chapuza|Esmero Y Cuidado / Chapuzas|esmero y cuidado / chapuza|esmero y cuidado / chapuzas
191,espectáculos,Espectáculos|Espectáculoses|espectaculos|espectaculoses|espectáculos|espectáculoses
192,estado y existencia,Estado Y Existencia|Estado Y Existencias|estado y existencia|estado y existencias
193,estado y situación,Estado Y Situación|Estado Y Situaciónes|estado y situacion|estado y situaciones|estado y situación|estado y situaciónes
194,estados y transformaciones de la materia,Estados Y Transformaciones De La Materia|Estados Y Transformaciones De La Materias|estados y transformaciones de la materia|estados y transformaciones de la materias
195,estamentos y grupos sociales,Estamentos Y Grupos Sociales|Estamentos Y Grupos Socialeses|estamentos y grupos sociales|estamentos y grupos socialeses
196,estar o poner de acuerdo o a favor,Estar O Poner De Acuerdo O A Favor|Estar O Poner De Acuerdo O A Favores|estar o poner de acuerdo o a favor|estar o poner de acuerdo o a favores
197,ética y moral,etica y moral|etica y morales|Ética Y Moral|Ética Y Morales|ética y moral|ética y morales
198,"exceder, destacar, superar","Exceder, Destacar, Superar|Exceder, Destacar, Superares|exceder, destacar, superar|exceder, destacar, superares"
199,expresar compromiso,Expresar Compromiso|Expresar Compromisos|expresar compromiso|expresar compromisos
200,expresión de sentimientos y valoraciones positivas,Expresión De Sentimientos Y Valoraciones Positivas|Expresión De Sentimientos Y Valoraciones Positivases|expresion de sentimientos y valoraciones positivas|expresion de sentimientos y valoraciones positivases|expresión de sentimientos y valoraciones positivas|expresión de sentimientos y valoraciones positivases
201,fácil y comprensible / difícil e incomprensible,Fácil Y Comprensible / Difícil E Incomprensible|Fácil Y Comprensible / Difícil E Incomprensibles|facil y comprensible / dificil e incomprensible|facil y comprensible / dificil e incomprensibles|fácil y comprensible / difícil e incomprensible|fácil y comprensible / difícil e incomprensibles
202,falta de inteligencia,Falta De Inteligencia|Falta De Inteligencias|falta de inteligencia|falta de inteligencias
203,farmacia,Farmacia|Farmacias|farmacia|farmacias
204,fases del desarrollo de los animales,Fases Del Desarrollo De Los Animales|Fases Del Desarrollo De Los Animaleses|fases del desarrollo de los animales|fases del desarrollo de los animaleses
205,fastuosidad y afectación / sencillez,Fastuosidad Y Afectación / Sencilleces|Fastuosidad Y Afectación / Sencillez|fastuosidad y afectacion / sencilleces|fastuosidad y afectacion / sencillez|fastuosidad y afectación / sencilleces|fastuosidad y afectación / sencillez
206,filología,Filología|Filologías|filologia|filologias|filología|filologías
207,filosofía,Filosofía|Filosofías|filosofia|filosofias|filosofía|filosofías
208,física nuclear,Física Nuclear|Física Nucleares|fisica nuclear|fisica nucleares|física nuclear|física nucleares
209,fisiología,Fisiología|Fisiologías|fisiologia|fisiologias|fisiología|fisiologías
210,flores,Flores|Floreses|flores|floreses
211,fonología y fonética,Fonología Y Fonética|Fonología Y Fonéticas|fonologia y fonetica|fonologia y foneticas|fonología y fonética|fonología y fonéticas
212,fontanería,Fontanería|Fontanerías|fontaneria|fontanerias|fontanería|fontanerías
213,forma,Forma|Formas|forma|formas
214,fórmulas de la vida social,Fórmulas De La Vida Social|Fórmulas De La Vida Sociales|formulas de la vida social|formulas de la vida sociales|fórmulas de la vida social|fórmulas de la vida sociales
215,fotografía,Fotografía|Fotografías|fotografia|fotografias|fotografía|fotografías
216,fracaso y derrota,Fracaso Y Derrota|Fracaso Y Derrotas|fracaso y derrota|fracaso y derrotas
217,fruto,Fruto|Frutos|fruto|frutos
218,fuego,Fuego|Fuegos|fuego|fuegos
219,fuerza e intensidad / debilidad y cansancio,Fuerza E Intensidad / Debilidad Y Cansancio|Fuerza E Intensidad / Debilidad Y Cansancios|fuerza e intensidad / debilidad y cansancio|fuerza e intensidad / debilidad y cansancios
220,ganadería,Ganadería|Ganaderías|ganaderia|ganaderias|ganadería|ganaderías
221,general / abstracto,General / Abstracto|General / Abstractos|general / abstracto|general / abstractos
222,general / particular,General / Particular|General / Particulares|general / particular|general / particulares
223,generalidades de alimentación,Generalidades De Alimentación|Generalidades De Alimentaciónes|generalidades de alimentacion|generalidades de alimentaciones|generalidades de alimentación|generalidades de alimentaciónes
224,generalidades de cultura,Generalidades De Cultura|Generalidades De Culturas|generalidades de cultura|generalidades de culturas
225,generalidades de economía y empresa,Generalidades De Economía Y Empresa|Generalidades De Economía Y Empresas|generalidades de economia y empresa|generalidades de economia y empresas|generalidades de economía y empresa|generalidades de economía y empresas
226,generalidades de geografía política,Generalidades De Geografía Política|Generalidades De Geografía Políticas|generalidades de geografia politica|generalidades de geografia politicas|generalidades de geografía política|generalidades de geografía políticas
227,generalidades de la antropología,Generalidades De La Antropología|Generalidades De La Antropologías|generalidades de la antropologia|generalidades de la antropologias|generalidades de la antropología|generalidades de la antropologías
228,generalidades de la arquitectura,Generalidades De La Arquitectura|Generalidades De La Arquitecturas|generalidades de la arquitectura|generalidades de la arquitecturas
229,generalidades de la botánica,Generalidades De La Botánica|Generalidades De La Botánicas|generalidades de la botanica|generalidades de la botanicas|generalidades de la botánica|generalidades de la botánicas
230,generalidades de la filosofía,Generalidades De La Filosofía|Generalidades De La Filosofías|generalidades de la filosofia|generalidades de la filosofias|generalidades de la filosofía|generalidades de la filosofías
231,generalidades de la geografía,Generalidades De La Geografía|Generalidades De La Geografías|generalidades de la geografia|generalidades de la geografias|generalidades de la geografía|generalidades de la geografías
232,generalidades de la historia,Generalidades De La Historia|Generalidades De La Historias|generalidades de la historia|generalidades de la historias
233,generalidades de la indumentaria,Generalidades De La Indumentaria|Generalidades De La Indumentarias|generalidades de la indumentaria|generalidades de la indumentarias
234,generalidades de la lingüística,Generalidades De La Lingüística|Generalidades De La Lingüísticas|generalidades de la linguistica|generalidades de la linguisticas|generalidades de la lingüística|generalidades de la lingüísticas
235,generalidades de la literatura,Generalidades De La Literatura|Generalidades De La Literaturas|generalidades de la literatura|generalidades de la literaturas
236,generalidades de la medicina,Generalidades De La Medicina|Generalidades De La Medicinas|generalidades de la medicina|generalidades de la medicinas
237,generalidades de la política,Generalidades De La Política|Generalidades De La Políticas|generalidades de la politica|generalidades de la politicas|generalidades de la política|generalidades de la políticas
238,generalidades de la zoología,Generalidades De La Zoología|Generalidades De La Zoologías|generalidades de la zoologia|generalidades de la zoologias|generalidades de la zoología|generalidades de la zoologías
239,generalidades de las artes escénicas,Generalidades De Las Artes Escénicas|Generalidades De Las Artes Escénicases|generalidades de las artes escenicas|generalidades de las artes escenicases|generalidades de las artes escénicas|generalidades de las artes escénicases
240,generalidades de las artes visuales,Generalidades De Las Artes Visuales|Generalidades De Las Artes Visualeses|generalidades de las artes visuales|generalidades de las artes visualeses
241,generalidades de las ciencias físicas,Generalidades De Las Ciencias Físicas|Generalidades De Las Ciencias Físicases|generalidades de las ciencias fisicas|generalidades de las ciencias fisicases|generalidades de las ciencias físicas|generalidades de las ciencias físicases
242,generalidades de las ciencias geológicas,Generalidades De Las Ciencias Geológicas|Generalidades De Las Ciencias Geológicases|generalidades de las ciencias geologicas|generalidades de las ciencias geologicases|generalidades de las ciencias geológicas|generalidades de las ciencias geológicases
243,generalidades de las ciencias químicas,Generalidades De Las Ciencias Químicas|Generalidades De Las Ciencias Químicases|generalidades de las ciencias quimicas|generalidades de las ciencias quimicases|generalidades de las ciencias químicas|generalidades de las ciencias químicases
244,generalidades de las matemáticas,Generalidades De Las Matemáticas|Generalidades De Las Matemáticases|generalidades de las matematicas|generalidades de las matematicases|generalidades de las matemáticas|generalidades de las matemáticases
245,generalidades de las telecomunicaciones,Generalidades De Las Telecomunicaciones|Generalidades De Las Telecomunicacioneses|generalidades de las telecomunicaciones|generalidades de las telecomunicacioneses
246,generalidades de los medios de comunicación,Generalidades De Los Medios De Comunicación|Generalidades De Los Medios De Comunicaciónes|generalidades de los medios de comunicacion|generalidades de los medios de comunicaciones|generalidades de los medios de comunicación|generalidades de los medios de comunicaciónes
247,generalidades de los sentidos,Generalidades De Los Sentidos|Generalidades De Los Sentidoses|generalidades de los sentidos|generalidades de los sentidoses
248,generalidades de metodología científica,Generalidades De Metodología Científica|Generalidades De Metodología Científicas|generalidades de metodologia cientifica|generalidades de metodologia cientificas|generalidades de metodología científica|generalidades de metodología científicas
249,generalidades de ocio y diversión,Generalidades De Ocio Y Diversión|Generalidades De Ocio Y Diversiónes|generalidades de ocio y diversion|generalidades de ocio y diversiones|generalidades de ocio y diversión|generalidades de ocio y diversiónes
250,generalidades de transportes,Generalidades De Transportes|Generalidades De Transporteses|generalidades de transportes|generalidades de transporteses
251,generalidades del arte,Generalidades Del Arte|Generalidades Del Artes|generalidades del arte|generalidades del artes
252,generalidades del carácter y el comportamiento,Generalidades Del Carácter Y El Comportamiento|Generalidades Del Carácter Y El Comportamientos|generalidades del caracter y el comportamiento|generalidades del caracter y el comportamientos|generalidades del carácter y el comportamiento|generalidades del carácter y el comportamientos
253,generalidades del ciclo de la vida,Generalidades Del Ciclo De La Vida|Generalidades Del Ciclo De La Vidas|generalidades del ciclo de la vida|generalidades del ciclo de la vidas
254,generalidades del derecho,Generalidades Del Derecho|Generalidades Del Derechos|generalidades del derecho|generalidades del derechos
255,generalidades del movimiento,Generalidades Del Movimiento|Generalidades Del Movimientos|generalidades del movimiento|generalidades del movimientos
256,generalidades del trabajo,Generalidades Del Trabajo|Generalidades Del Trabajos|generalidades del trabajo|generalidades del trabajos
257,generalidades del transporte aéreo,Generalidades Del Transporte Aéreo|Generalidades Del Transporte Aéreos|generalidades del transporte aereo|generalidades del transporte aereos|generalidades del transporte aéreo|generalidades del transporte aéreos
258,géneros y composiciones literarias,Géneros Y Composiciones Literarias|Géneros Y Composiciones Literariases|generos y composiciones literarias|generos y composiciones literariases|géneros y composiciones literarias|géneros y composiciones literariases
259,"generoso y desprendido / ambicioso, egoísta y tacaño","Generoso Y Desprendido / Ambicioso, Egoísta Y Tacaño|Generoso Y Desprendido / Ambicioso, Egoísta Y Tacaños|generoso y desprendido / ambicioso, egoista y tacano|generoso y desprendido / ambicioso, egoista y tacanos|generoso y desprendido / ambicioso, egoísta y tacaño|generoso y desprendido / ambicioso, egoísta y tacaños"
260,genética,Genética|Genéticas|genetica|geneticas|genética|genéticas
261,gentilicios,Gentilicios|Gentilicioses|gentilicios|gentilicioses
262,geografía,Cartografía|Cartografías|Geografía|Geografías|Geográfico|Geográficos|Lugar|Lugares|Mapa|Mapas|Región|Regiónes|Territorio|Territorios|Toponimia|Toponimias|cartografia|cartografias|cartografía|cartografías|geografia|geografias|geografico|geograficos|geografía|geografías|geográfico|geográficos|lugar|lugares|mapa|mapas|region|regiones|región|regiónes|territorio|territorios|toponimia|toponimias|toponimo|topónimo
263,geografía física,Geografía Física|Geografía Físicas|geografia fisica|geografia fisicas|geografía física|geografía físicas
264,geografía política,Geografía Política|Geografía Políticas|geografia politica|geografia politicas|geografía política|geografía políticas
265,geometría,Geometría|Geometrías|geometria|geometrias|geometría|geometrías
266,gestión administrativa,Gestión Administrativa|Gestión Administrativas|gestion administrativa|gestion administrativas|gestión administrativa|gestión administrativas
267,gestos y expresiones faciales,Gestos Y Expresiones Faciales|Gestos Y Expresiones Facialeses|gestos y expresiones faciales|gestos y expresiones facialeses
268,gobierno y administración pública,Gobierno Y Administración Pública|Gobierno Y Administración Públicas|gobierno y administracion publica|gobierno y administracion publicas|gobierno y administración pública|gobierno y administración públicas
269,gorronar y sablear,Gorronar Y Sablear|Gorronar Y Sableares|gorronar y sablear|gorronar y sableares
270,grande y desmesurado / pequeño,Grande Y Desmesurado / Pequeño|Grande Y Desmesurado / Pequeños|grande y desmesurado / pequeno|grande y desmesurado / pequenos|grande y desmesurado / pequeño|grande y desmesurado / pequeños
271,grupos de personas,Grupos De Personas|Grupos De Personases|grupos de personas|grupos de personases
272,grupos étnicos,Grupos Étnicos|Grupos Étnicoses|grupos etnicos|grupos etnicoses|grupos étnicos|grupos étnicoses
273,grupos o colecciones,Grupos O Colecciones|Grupos O Coleccioneses|grupos o colecciones|grupos o coleccioneses
274,grupos religiosos y su estructura,Grupos Religiosos Y Su Estructura|Grupos Religiosos Y Su Estructuras|grupos religiosos y su estructura|grupos religiosos y su estructuras
275,gusto,Gusto|Gustos|gusto|gustos
276,hábito y repetición,Hábito Y Repetición|Hábito Y Repeticiónes|habito y repeticion|habito y repeticiones|hábito y repetición|hábito y repeticiónes
277,"hablar, narrar, conversar","Hablar, Narrar, Conversar|Hablar, Narrar, Conversares|hablar, narrar, conversar|hablar, narrar, conversares"
278,hacer y conseguir,Hacer Y Conseguir|Hacer Y Conseguires|hacer y conseguir|hacer y conseguires
279,heráldica,Heráldica|Heráldicas|heraldica|heraldicas|heráldica|heráldicas
280,heridas,Heridas|Heridases|heridas|heridases
281,higiene,Higiene|Higienes|higiene|higienes
282,historia,Anales|Analeses|Crónica|Crónicas|Historia|Historias|Historiografía|Historiografías|Histórico|Históricos|Periodo|Periodos|anales|analeses|cronica|cronicas|crónica|crónicas|epoca|epocas|historia|historias|historico|historicos|historiografia|historiografias|historiografía|historiografías|histórico|históricos|periodo|periodos|Época|Épocas|época|épocas
283,historia y libros sagrados,Historia Y Libros Sagrados|Historia Y Libros Sagradoses|historia y libros sagrados|historia y libros sagradoses
284,humor y burla,Humor Y Burla|Humor Y Burlas|humor y burla|humor y burlas
285,"ideología, usos y costumbres","Ideología, Usos Y Costumbres|Ideología, Usos Y Costumbreses|ideologia, usos y costumbres|ideologia, usos y costumbreses|ideología, usos y costumbres|ideología, usos y costumbreses"
286,"igualdad, semejanza, coincidencia y proporción","Igualdad, Semejanza, Coincidencia Y Proporción|Igualdad, Semejanza, Coincidencia Y Proporciónes|igualdad, semejanza, coincidencia y proporcion|igualdad, semejanza, coincidencia y proporciones|igualdad, semejanza, coincidencia y proporción|igualdad, semejanza, coincidencia y proporciónes"
287,imaginación y creación intelectual,Imaginación Y Creación Intelectual|Imaginación Y Creación Intelectuales|imaginacion y creacion intelectual|imaginacion y creacion intelectuales|imaginación y creación intelectual|imaginación y creación intelectuales
288,importante y valioso / poco importante,Importante Y Valioso / Poco Importante|Importante Y Valioso / Poco Importantes|importante y valioso / poco importante|importante y valioso / poco importantes
289,importar e interesar,Importar E Interesar|Importar E Interesares|importar e interesar|importar e interesares
290,"incitar, persuadir y aconsejar","Incitar, Persuadir Y Aconsejar|Incitar, Persuadir Y Aconsejares|incitar, persuadir y aconsejar|incitar, persuadir y aconsejares"
291,indumentaria,Indumentaria|Indumentarias|indumentaria|indumentarias
292,industria,Industria|Industrias|industria|industrias
293,industria azucarera,Industria Azucarera|Industria Azucareras|industria azucarera|industria azucareras
294,industria alimentaria,Industria Alimentaria|Industria Alimentarias|industria alimentaria|industria alimentarias
295,infancia y juventud,Infancia Y Juventud|Infancia Y Juventudes|infancia y juventud|infancia y juventudes
296,informar y explicar,Informar Y Explicar|Informar Y Explicares|informar y explicar|informar y explicares
297,informática,Algoritmo|Algoritmos|Computación|Computaciónes|Datos|Datoses|Hardware|Hardwares|Informática|Informáticas|Programación|Programaciónes|Software|Softwares|Tecnología|Tecnologías|algoritmo|algoritmos|computacion|computaciones|computación|computaciónes|datos|datoses|hardware|hardwares|informatica|informaticas|informática|informáticas|programacion|programaciones|programación|programaciónes|software|softwares|tecnologia|tecnologias|tecnología|tecnologías
298,infraestructura del transporte aéreo,Infraestructura Del Transporte Aéreo|Infraestructura Del Transporte Aéreos|infraestructura del transporte aereo|infraestructura del transporte aereos|infraestructura del transporte aéreo|infraestructura del transporte aéreos
299,infraestructura del transporte marítimo y fluvial,Infraestructura Del Transporte Marítimo Y Fluvial|Infraestructura Del Transporte Marítimo Y Fluviales|infraestructura del transporte maritimo y fluvial|infraestructura del transporte maritimo y fluviales|infraestructura del transporte marítimo y fluvial|infraestructura del transporte marítimo y fluviales
300,infraestructura del transporte terrestre,Infraestructura Del Transporte Terrestre|Infraestructura Del Transporte Terrestres|infraestructura del transporte terrestre|infraestructura del transporte terrestres
301,infraestructura hidráulica y conducción de fluidos,Infraestructura Hidráulica Y Conducción De Fluidos|Infraestructura Hidráulica Y Conducción De Fluidoses|infraestructura hidraulica y conduccion de fluidos|infraestructura hidraulica y conduccion de fluidoses|infraestructura hidráulica y conducción de fluidos|infraestructura hidráulica y conducción de fluidoses
302,instrumentos musicales,Instrumentos Musicales|Instrumentos Musicaleses|instrumentos musicales|instrumentos musicaleses
303,inteligencia y astucia,Inteligencia Y Astucia|Inteligencia Y Astucias|inteligencia y astucia|inteligencia y astucias
304,"intentar, procurar y recursos","Intentar, Procurar Y Recursos|Intentar, Procurar Y Recursoses|intentar, procurar y recursos|intentar, procurar y recursoses"
305,"intranquilidad, sorpresa y confusión","Intranquilidad, Sorpresa Y Confusión|Intranquilidad, Sorpresa Y Confusiónes|intranquilidad, sorpresa y confusion|intranquilidad, sorpresa y confusiones|intranquilidad, sorpresa y confusión|intranquilidad, sorpresa y confusiónes"
306,invertebrados,Invertebrados|Invertebradoses|invertebrados|invertebradoses
307,investigar y averiguar,Investigar Y Averiguar|Investigar Y Averiguares|investigar y averiguar|investigar y averiguares
308,joyería y orfebrería,Joyería Y Orfebrería|Joyería Y Orfebrerías|joyeria y orfebreria|joyeria y orfebrerias|joyería y orfebrería|joyería y orfebrerías
309,juegos y juguetes,Juegos Y Juguetes|Juegos Y Jugueteses|juegos y juguetes|juegos y jugueteses
310,lamentar y quejar,Lamentar Y Quejar|Lamentar Y Quejares|lamentar y quejar|lamentar y quejares
311,"lealtad, confianza y gratitud / deslealtad, desconfianza y traición","Lealtad, Confianza Y Gratitud / Deslealtad, Desconfianza Y Traición|Lealtad, Confianza Y Gratitud / Deslealtad, Desconfianza Y Traiciónes|lealtad, confianza y gratitud / deslealtad, desconfianza y traicion|lealtad, confianza y gratitud / deslealtad, desconfianza y traiciones|lealtad, confianza y gratitud / deslealtad, desconfianza y traición|lealtad, confianza y gratitud / deslealtad, desconfianza y traiciónes"
312,lenguas,Lenguas|Lenguases|lenguas|lenguases
313,lexicografía y lexicología,Lexicografía Y Lexicología|Lexicografía Y Lexicologías|lexicografia y lexicologia|lexicografia y lexicologias|lexicografía y lexicología|lexicografía y lexicologías
314,leyes y códigos,Leyes Y Códigos|Leyes Y Códigoses|leyes y codigos|leyes y codigoses|leyes y códigos|leyes y códigoses
315,"límite, extremo y grado","Límite, Extremo Y Grado|Límite, Extremo Y Grados|limite, extremo y grado|limite, extremo y grados|límite, extremo y grado|límite, extremo y grados"
316,lingüística,Filología|Filologías|Lexicografía|Lexicografías|Lexicología|Lexicologías|Lingüística|Lingüísticas|Pragmática|Pragmáticas|Semántica|Semánticas|filologia|filologias|filología|filologías|lexicografia|lexicografias|lexicografía|lexicografías|lexicologia|lexicologias|lexicología|lexicologías|linguistica|linguisticas|linguistico|lingüística|lingüísticas|lingüístico|pragmatica|pragmaticas|pragmática|pragmáticas|semantica|semanticas|semántica|semánticas
317,literatura,Autor|Autores|Drama|Dramas|Ensayo|Ensayos|Letras|Letrases|Literatura|Literaturas|Narrativa|Narrativas|Obra|Obras|Poesía|Poesías|autor|autores|drama|dramas|ensayo|ensayos|letras|letrases|literatura|literaturas|narrativa|narrativas|obra|obras|poesia|poesias|poesía|poesías
318,lluvia,Lluvia|Lluvias|lluvia|lluvias
319,viento,Viento|Vientos|viento|vientos
320,"lugar, espacio y posición","Lugar, Espacio Y Posición|Lugar, Espacio Y Posiciónes|lugar, espacio y posicion|lugar, espacio y posiciones|lugar, espacio y posición|lugar, espacio y posiciónes"
321,lugares de trabajo,Lugares De Trabajo|Lugares De Trabajos|lugares de trabajo|lugares de trabajos
322,luz,Luces|Luz|luces|luz
323,madera,Madera|Maderas|madera|maderas
324,magnitudes y propiedades físicas,Magnitudes Y Propiedades Físicas|Magnitudes Y Propiedades Físicases|magnitudes y propiedades fisicas|magnitudes y propiedades fisicases|magnitudes y propiedades físicas|magnitudes y propiedades físicases
325,maldad y deshonestidad,Maldad Y Deshonestidad|Maldad Y Deshonestidades|maldad y deshonestidad|maldad y deshonestidades
326,mamíferos,Mamíferos|Mamíferoses|mamifero|mamiferos|mamiferoses|mamífero|mamíferos|mamíferoses
327,mantenerse y durar / consumir y extinguir,Mantenerse Y Durar / Consumir Y Extinguir|Mantenerse Y Durar / Consumir Y Extinguires|mantenerse y durar / consumir y extinguir|mantenerse y durar / consumir y extinguires
328,mares y océanos,Mares Y Océanos|Mares Y Océanoses|mares y oceanos|mares y oceanoses|mares y océanos|mares y océanoses
329,materia,Materia|Materias|materia|materias
330,material de escritorio y papelería,Material De Escritorio Y Papelería|Material De Escritorio Y Papelerías|material de escritorio y papeleria|material de escritorio y papelerias|material de escritorio y papelería|material de escritorio y papelerías
331,materiales de construcción,Materiales De Construcción|Materiales De Construcciónes|materiales de construccion|materiales de construcciones|materiales de construcción|materiales de construcciónes
332,materiales y productos de origen animal,Materiales Y Productos De Origen Animal|Materiales Y Productos De Origen Animales|materiales y productos de origen animal|materiales y productos de origen animales
333,materiales y productos de origen mineral,Materiales Y Productos De Origen Mineral|Materiales Y Productos De Origen Minerales|materiales y productos de origen mineral|materiales y productos de origen minerales
334,materiales y productos de origen vegetal,Materiales Y Productos De Origen Vegetal|Materiales Y Productos De Origen Vegetales|materiales y productos de origen vegetal|materiales y productos de origen vegetales
335,mecánica,Mecánica|Mecánicas|mecanica|mecanicas|mecánica|mecánicas
336,medicina,Clínica|Clínicas|Diagnóstico|Diagnósticos|Medicina|Medicinas|Médico|Médicos|Patología|Patologías|Salud|Saludes|Terapia|Terapias|Tratamiento|Tratamientos|clinica|clinicas|clínica|clínicas|diagnostico|diagnosticos|diagnóstico|diagnósticos|medicina|medicinas|medico|medicos|médico|médicos|patologia|patologias|patología|patologías|salud|saludes|terapia|terapias|tratamiento|tratamientos
337,medios,Medios|Medioses|medios|medioses
338,medios de comunicación,Medios De Comunicación|Medios De Comunicaciónes|medios de comunicacion|medios de comunicaciones|medios de comunicación|medios de comunicaciónes
339,medios de comunicación de masas,Medios De Comunicación De Masas|Medios De Comunicación De Masases|medios de comunicacion de masas|medios de comunicacion de masases|medios de comunicación de masas|medios de comunicación de masases
340,mejorar y perfeccionar / empeorar y deteriorar,Mejorar Y Perfeccionar / Empeorar Y Deteriorar|Mejorar Y Perfeccionar / Empeorar Y Deteriorares|mejorar y perfeccionar / empeorar y deteriorar|mejorar y perfeccionar / empeorar y deteriorares
341,mestizaje étnico,Mestizaje Étnico|Mestizaje Étnicos|mestizaje etnico|mestizaje etnicos|mestizaje étnico|mestizaje étnicos
342,metodología científica,Metodología Científica|Metodología Científicas|metodologia cientifica|metodologia cientificas|metodología científica|metodología científicas
343,métrica,Métrica|Métricas|metrica|metricas|métrica|métricas
344,metrología,Metrología|Metrologías|metrologia|metrologias|metrología|metrologías
345,microbiología,Microbiología|Microbiologías|microbiologia|microbiologias|microbiología|microbiologías
346,miedo y peligro,Miedo Y Peligro|Miedo Y Peligros|miedo y peligro|miedo y peligros
347,minerales,Minerales|Mineraleses|minerales|mineraleses
348,minería,Minería|Minerías|mineria|minerias|minería|minerías
349,misterios y secretos,Misterios Y Secretos|Misterios Y Secretoses|misterios y secretos|misterios y secretoses
350,mitos y fábulas,Mitos Y Fábulas|Mitos Y Fábulases|mitos y fabulas|mitos y fabulases|mitos y fábulas|mitos y fábulases
351,"mobiliario, menaje y decoración","Mobiliario, Menaje Y Decoración|Mobiliario, Menaje Y Decoraciónes|mobiliario, menaje y decoracion|mobiliario, menaje y decoraciones|mobiliario, menaje y decoración|mobiliario, menaje y decoraciónes"
352,modos de pronunciar,Modos De Pronunciar|Modos De Pronunciares|modos de pronunciar|modos de pronunciares
353,mojado / seco,Mojado / Seco|Mojado / Secos|mojado / seco|mojado / secos
354,molinero,Molinero|Molineros|molinero|molineros
355,molinos de viento,Molinos De Viento|Molinos De Vientos|molinos de viento|molinos de vientos
356,"moralidad, justicia y equidad / inmoralidad e injusticia","Moralidad, Justicia Y Equidad / Inmoralidad E Injusticia|Moralidad, Justicia Y Equidad / Inmoralidad E Injusticias|moralidad, justicia y equidad / inmoralidad e injusticia|moralidad, justicia y equidad / inmoralidad e injusticias"
357,morfosintaxis,Morfosintaxis|Morfosintaxises|morfosintaxis|morfosintaxises
358,"mostrar, manifestar y difundir","Mostrar, Manifestar Y Difundir|Mostrar, Manifestar Y Difundires|mostrar, manifestar y difundir|mostrar, manifestar y difundires"
359,moverse a pie,Moverse A Pie|Moverse A Pies|moverse a pie|moverse a pies
360,movimiento,Movimiento|Movimientos|movimiento|movimientos
361,movimiento de fluidos,Movimiento De Fluidos|Movimiento De Fluidoses|movimiento de fluidos|movimiento de fluidoses
362,movimiento en el aire o en el agua,Movimiento En El Aire O En El Agua|Movimiento En El Aire O En El Aguas|movimiento en el aire o en el agua|movimiento en el aire o en el aguas
363,movimientos de evasión y persecución,Movimientos De Evasión Y Persecución|Movimientos De Evasión Y Persecuciónes|movimientos de evasion y persecucion|movimientos de evasion y persecuciones|movimientos de evasión y persecución|movimientos de evasión y persecuciónes
364,muerte,Muerte|Muertes|muerte|muertes
365,música,Armonía|Armonías|Canto|Cantos|Composición|Composiciónes|Instrumento|Instrumentos|Melodía|Melodías|Música|Músicas|Ritmo|Ritmos|armonia|armonias|armonía|armonías|canto|cantos|composicion|composiciones|composición|composiciónes|instrumento|instrumentos|melodia|melodias|melodía|melodías|musica|musicas|música|músicas|ritmo|ritmos
366,navegación,Navegación|Navegaciónes|navegacion|navegaciones|navegación|navegaciónes
367,necesario e ineludible,Necesario E Ineludible|Necesario E Ineludibles|necesario e ineludible|necesario e ineludibles
368,negocios y empresas,Negocios Y Empresas|Negocios Y Empresases|negocios y empresas|negocios y empresases
369,no acción,No Acción|No Acciónes|no accion|no acciones|no acción|no acciónes
370,no tener o no mostrar sentimientos,No Tener O No Mostrar Sentimientos|No Tener O No Mostrar Sentimientoses|no tener o no mostrar sentimientos|no tener o no mostrar sentimientoses
371,nombres de los deportes y deportistas,Nombres De Los Deportes Y Deportistas|Nombres De Los Deportes Y Deportistases|nombres de los deportes y deportistas|nombres de los deportes y deportistases
372,nombres propios,Nombres Propios|Nombres Propioses|nombres propios|nombres propioses
373,"normal, común y frecuente / extraordinario e infrecuente","Normal, Común Y Frecuente / Extraordinario E Infrecuente|Normal, Común Y Frecuente / Extraordinario E Infrecuentes|normal, comun y frecuente / extraordinario e infrecuente|normal, comun y frecuente / extraordinario e infrecuentes|normal, común y frecuente / extraordinario e infrecuente|normal, común y frecuente / extraordinario e infrecuentes"
374,nuevo / viejo,Nuevo / Viejo|Nuevo / Viejos|nuevo / viejo|nuevo / viejos
375,números,Números|Númeroses|numeros|numeroses|números|númeroses
376,"numismática, sigilografía y filatelia","Numismática, Sigilografía Y Filatelia|Numismática, Sigilografía Y Filatelias|numismatica, sigilografia y filatelia|numismatica, sigilografia y filatelias|numismática, sigilografía y filatelia|numismática, sigilografía y filatelias"
377,objetos religiosos,Objetos Religiosos|Objetos Religiososes|objetos religiosos|objetos religiososes
378,"obligaciones, contratos y acuerdos","Obligaciones, Contratos Y Acuerdos|Obligaciones, Contratos Y Acuerdoses|obligaciones, contratos y acuerdos|obligaciones, contratos y acuerdoses"
379,ocio y diversión,Ocio Y Diversión|Ocio Y Diversiónes|ocio y diversion|ocio y diversiones|ocio y diversión|ocio y diversiónes
380,ociosidad y negligencia,Ociosidad Y Negligencia|Ociosidad Y Negligencias|ociosidad y negligencia|ociosidad y negligencias
381,ocultar y desaparecer,Ocultar Y Desaparecer|Ocultar Y Desapareceres|ocultar y desaparecer|ocultar y desapareceres
382,ocurrir,Ocurrir|Ocurrires|ocurrir|ocurrires
383,odio,Odio|Odios|odio|odios
